run_id,map_type,map_name,map_size,obstacle_ratio,task_id,start,goal,optimal_length,algorithm,success,path_length,turn_count,expanded_nodes,runtime_ms,collision_free
exp_v1_rerun,dao,arena,49x49,0.1445,24,"28,31","29,41",10.414214,ablation_no_adapt,True,10.049876,0,20,0.1603,True
exp_v1_rerun,dao,arena,49x49,0.1445,24,"28,31","29,41",10.414214,ablation_no_smooth,True,10.414214,1,11,0.2052,True
exp_v1_rerun,dao,arena,49x49,0.1445,25,"13,31","8,40",11.071068,dijkstra,True,11.071068,3,306,1.9583,True
exp_v1_rerun,dao,arena,49x49,0.1445,25,"13,31","8,40",11.071068,astar_euclidean,True,11.071068,7,28,0.2141,True
exp_v1_rerun,dao,arena,49x49,0.1445,25,"13,31","8,40",11.071068,astar_octile,True,11.071068,1,10,0.1070,True
exp_v1_rerun,dao,arena,49x49,0.1445,25,"13,31","8,40",11.071068,weighted_1.2,True,11.071068,1,10,0.0987,True
exp_v1_rerun,dao,arena,49x49,0.1445,25,"13,31","8,40",11.071068,improved_ours,True,10.295630,0,10,0.1735,True
exp_v1_rerun,dao,arena,49x49,0.1445,25,"13,31","8,40",11.071068,ablation_no_adapt,True,10.295630,0,10,0.1007,True
exp_v1_rerun,dao,arena,49x49,0.1445,25,"13,31","8,40",11.071068,ablation_no_smooth,True,11.071068,1,10,0.2030,True
exp_v1_rerun,dao,arena,49x49,0.1445,26,"9,18","3,13",8.071068,dijkstra,True,8.071068,1,162,0.9830,True
exp_v1_rerun,dao,arena,49x49,0.1445,26,"9,18","3,13",8.071068,astar_euclidean,True,8.071068,1,7,0.0854,True
exp_v1_rerun,dao,arena,49x49,0.1445,26,"9,18","3,13",8.071068,astar_octile,True,8.071068,1,7,0.0726,True
exp_v1_rerun,dao,arena,49x49,0.1445,26,"9,18","3,13",8.071068,weighted_1.2,True,8.071068,1,7,0.0726,True
exp_v1_rerun,dao,arena,49x49,0.1445,26,"9,18","3,13",8.071068,improved_ours,True,7.810250,0,7,0.1275,True
